NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5,A6,A7,A7A,A8,A9,A10,A10A,A11,A14,A15,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,K_1,K_2,K_3,K_4,K_5,K6,K7,K8A_1,K8A_2,K8A_3,B1,B2,B3,B4,B5A_1,B5A_2,B5A_3,B5A_4,B5A_5,B5A_6,B11,B12,B13,B14,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,D2,D3A_1,D3A_2,D3A_3,D3A_4,D3A_5,D3A_6,D3A_7,D3A_8,D11,D12,D13,D14,D15,EA_1,EA_2,EA_3,E4,E7,E8,E10,E11,E12,E14,E15,E16,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G2,G4,G5_1,G5_2,G5_3,G5_4,G5_5,H1,H2,H3,H4,H7,M1_1,M1_2,M1_3,M4,M6,M7,M8,M9,M10,wgt_n2,wgt_d2,wgt_s3
2009010001,43,6,3,2,2,8,2,5,1,2,1,7,5,2,1,2,3,1,2,7,3,3,2,1,1,2, ,2,2,2, ,1,1,1,1,2,1,2,3,7,6,1,1,1,2, , , , , , , , , ,1,1,2,2,2, , , , , , ,2, , , , , , , , , , , , , , , , ,1,2,2,3,1,2, , ,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,7,7,6,5,1,3,3,1,98,.207776865806705,.393232074540797,.351114295653793
2009010002,44,7,3,1,5,5,1,3,4,2,2,3,8,8,2,5,1,1,4,9,3,2,2, , , ,1,2,2,2, ,2,2,1,2,1,2,2,2,6,7,1,1,1,2, , , , , , , , , ,1, , , , , , , , , , , , , ,2,1,2,2,1,1,1,2,2, , , , ,3,1,2,2,4,2,1, , , , , ,2,3,2,1,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,1,1,1,6,6,7,6,1,3,2,1,2,1.59376095067897,3.63434786488392,1.28272666734307
2009010003,44,7,3,1,5,5,1,3,1,2,1,5,7,2,1,5,1,1,4,6,1,3,2, , ,1, ,1,2,2, ,2,2,2,2,1,98,2,3,5,5,1,1,2,2, , , , , , , , , ,1,1,1,2,1,1,2,2,3,2,2,1,1,1, , , , , , , , , , , , , , ,1,2,2,3,1,2, , ,1,2,1,2,2,1,1,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,2,6,5,5,5,1,3,2,1,2,1.59376095067897,3.63434786488392,1.28272666734307
2009010004,33,2,1,2,3,9,2,3,2,2,2,4,2,2,1,1,1,1,9,6,1,3,2,2, ,2, ,1,2,2, ,2,2,2,2,2, , ,2,2,3,2,1, , , , , , , , , , , ,2,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,7, , , , , , , ,2, ,2,2,2,1,1,2,1,2,2,2,4,2,1,2,6,1,98,98,1,2,2.54715617472817,1.89168044690173,1.36611049505574
2009010005,5,9,4,1,6,6,1,3,4,1,3,3,3, ,1,5, , ,5,1,3,3,2, , ,2, ,2,2,2, ,2,2,2,2,2, , ,4,4,4,1,1,1,1, , , , , , , , , ,2,2, , ,2, , , , , , ,2, , , , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,7, , , , , , , ,2, ,2,2,2,2,2,2,1,2,2,1,3,6,6,4,4,1,3,1,1,2,2.12104234740298,4.46167788373246,1.38467022170145
2009010006,5,9,4,2,3,9,1,4,2,1,3,7,2, ,1,6, , ,1,3,1,2,2, , ,1, ,1,2,1,2,2,1,1,2,1,1,1,1,6,7,1,1,1,2, , , , , , , , , ,2,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,1,2,1,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2,1,1,7,7,7,6,1,3,4,1,2,.987728746371224,2.09454319178214,.637266463500589
2009010007,15,3,2,2,4,10,1,2,1,2,1,4,2,8,1,2,1,1,1,8,2,1,2,2, ,2, ,2,2,2, ,2,2,2,1,1,98,2,4,6,4,1,2,1,2, , , , , , , , , ,1,1,3,1,2,1,98,98,3,2,2,1,2,1, , , , , , , , , , , , , , ,1,1,2,4,1,2, , ,1,98,3,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,2,7,98,4,7,98,98,98,98,98,1.57487239184744,.737587693945992,1.09878521171872
2009010008,39,2,1,1,4,4,1,3,2,1,3,2,7, ,1,6, , ,6,6,1,2,2, , ,1, ,1,2,2, ,2,2,2,2,2, , ,4,4,4,1,1,2,2, , , , , , , , , ,1,2, , ,1,1,98,98,3,2,2,2, , , , , , , , , , , , , , , , ,1,2,2,3,1,2, , ,1,98,1,2,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1,1,5,5,5,5,1,98,98,2,98,2.49799232250311,1.10783866619001,1.15821451468146
2009010009,33,2,1,2,3,9,2,3,4,2,2,5,2,2,1,3,3,3,5,5,98,2,2,1,2,1, ,1,2,2, ,2,1,2,1,2,1,2,3,5,5,1,1,1,2, , , , , , , , , ,2,1,1,1,1,1,98,98,3,2,2,1,2,1, , , , , , , , , , , , , , ,2,1,2, , , , , , , , ,2,7, , , , , , , ,2, ,2,1,1,2,1,2,1,2,2,2,4,3,3,3,5,98,98,98,98,98,2.54715617472817,1.89168044690173,1.36611049505574
2009010010,33,2,1,1,3,3,1,4,1,2,1,8,2,4,1,4,1,1,4,5,1,3,1,1,1,1, ,2,2,2, ,2,1,2,1,1,1,2,5,7,5,1,1,2,2, , , , , , , , , ,1,1,1,1,2,1,1,98,2,2,2,2, , , , , , , , , , , , , , , , ,1,2,2,4,1,2, , ,1,2,1,2,3,1,2,2,2,2,2,1,2, ,2,2,2,2,2,2,1,1,1,1,1,7,7,7,6,1,1,2,98,2,1.37862350243987,1.03946489525994,.722325887232234
2009010011,15,3,2,1,3,3,1,5,1,2,1,8,2,3,1,3,1,1,9,4,2,3,2,1,1,1, ,2,2,1,3,2,1,1,1,2,2,2,4,3,5,1,1,1,2, , , , , , , , , ,2,1,3,2,1,1,1,2,3,2,2,1,2,2, , , , , , , , , , , , , , ,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,1,6,7,7,6,1,3,1,1,2,.97021290698769,.451079136366416,.579925668559685
2009010012,47,5,3,1,4,4,1,3,1,2,1,7,8,4,2,5,3,2,4,7,1,3,2, , , ,1,2,1,1,3,2,1,2,1,2,2,2,4,4,4,1,1,1,2, , , , , , , , , ,2, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,1,2,2,4,1,2, , ,1,2,1,2,3,2,1,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,2,6,4,5,6,1,3,1,1,2,1.27616036969318,1.52212432665524,1.20702023381618
2009010013,14,3,2,2,3,9,1,3,2,1,3,6,8, ,2,6, , ,6,6,1,2,2, , , ,2,2,1,1,3,2,1,2,2,1,1,2,6,1,7,1,1,1,2, , , , , , , , , ,1, , , , , , , , , , , , , ,2,2,2,1,1,2,2,2,2,2, , ,2, ,1,2,2,3,1,2, , ,1,2,1,2,3,2,1,1,2,2,2,2,2, ,2,2,2,2,2,2,1,1,2,2,4,7,7,7,5,1,3,1,1,2,1.57487239184744,1.52771063084986,1.12429002721938
2009010014,21,5,3,1,5,5,1,3,1,2,1,5,2,4,1,5,1,1,4,1,1,3,1, , ,2, ,2,2,2, ,2,1,2,2,2,2,2,4,6,5,1,1,2,2, , , , , , , , , ,1,1,1,1,1,1,1,2,2,2,2,1,2,2, , , , , , , , , , , , , , ,1,2,2,4,2,2, , , , , ,2,3,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,3,7,7,5,5,1,3,98,1,98,1.35489106590542,1.15671882892097,1.26789710545469
2009010015,23,3,2,1,3,3,1,2,1,2,1,4,2,2,1,1,1,1,2,4,1,1,2,2, ,2, ,1,2,2, ,2,2,2,2,2, , ,1,1,1,1,1,1,2, , , , , , , , , ,2,1,3,1,2,1,98,2,4,2,2,1,2,2, , , , , , , , , , , , , , ,1,2,2,4,1,2, , ,1,98,1,2,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,2,1,3,5,2,5,2,1,98,98,1,98,1.75797408687684,1.2677297925419,1.20295067847027
2009010016,3,8,4,2,4,10,1,4,4,1,3,4,2, ,1,6, , ,1,1,1,1,2, , ,2, ,1,2,1,3,2,2,2,2,2, , ,2,2,2,1,1,1,2, , , , , , , , , ,2,1, ,1,2,1,2,1, ,2,2,1,2,2, , , , , , , , , , , , , , ,1,2,2,4,1,1, , ,1,2,1,2,2,1,1,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,1,5,2,5,7,1,3,2,1,2,.247458412353934,1.28653933534838,.529530773105295
2009010017,5,9,4,2,5,11,2,3,5,4,3,4,1, ,1,5, , ,2,1,2,2,2, , ,1, ,1,2,2, ,2,2,2,1,2,1,2,5,6,6,1,2,2,2, , , , , , , , , ,2,2, , ,2, , , , , , ,1,2,1, , , , , , , , , , , , , , ,1,2,2,4,1,2, , ,1,98,1,2,7, , , , , , , ,2, ,2,2,2,2,2,2,2,1,2,1,2,5,6,3,3,1,3,98,1,98,1.05148483189483,2.53664045781838,.676093113613904
2009010018,7,1,1,2,4,10,2,1,1,2,1,2,8,8,2,1,1,1,1,99,2,2,2,99, , ,1,1,1,1,1,1,2,2,2,2,1,1,7,1,1,99,99, , , , , , , , , , , ,2, , , , , , , , , , , , , ,1,1,2,1,2,2,2,2,2,1,2,1,1,3,1,2,2,3,2,2, , , , , ,99,99, , , , , , , ,2, ,2,2,2,2,1,1,99,1,1,1,1,3,3,3,6,99,3,1,1,2,.510810281675676,1.88719966791591,1.24768395618206
2009010019,5,9,4,1,3,3,2,5,2,1,3,6,2, ,1,6, , ,2,3,1,2,2, , ,2, ,2,1,1,2,2,2,2,2,2, , ,2,6,2,1,1,1,1, , , , , , , , , ,1,2, , ,1,2,1,1, ,2,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,2,7,6,7,6,1,3,2,2,2,1.25497873479589,2.1325061552343,.610051017078897
2009010020,13,8,4,2,2,8,1,3,4,1,3,2,4, ,1,4, , ,5,1,2,1,2,2, ,2, ,2,2,2, ,2,2,2,1,2,98,2,7,4,4,1,2,1,1, , , , , , , , , ,2,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,7, , , , , , , ,1,2,2,1,1,2,2,1,2,2,2,1,1,5,5,3,4,1,3,1,1,98,.440053380656472,.617445996027943,1.07508699440648
2009010021,50,3,2,2,5,11,1,3,1,2,1,5,2,3,1,5,3,3,4,3,3,2,1, , ,98, ,2,1,1,2,2,2,1,1,2,2,2,4,4,4,1,1,1,2, , , , , , , , , ,2,1,1,1,2,1,98,98,4,2,2,1,2,2, , , , , , , , , , , , , , ,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,4,4,4,5,1,1,3,1,98,1.86265373900835,.717670724035633,1.12614396180591
2009010022,5,9,4,2,2,8,2,4,1,2,1,3,1,2,1,1,1,2,5,5,3,2,2,1,2,1, ,1,1,1,3,2,2,1,2,2,1,2,6,6,3,1,2,1,2, , , , , , , , , ,2,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,2,2,2, , , , , , , , ,2,3,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,7,7,6,7,1,3,1,1,2,1.43018343220759,2.77441813703855,.805156572874051
2009010023,50,3,2,1,3,3,1,2,2,1,3,4,2, ,1,6, , ,2,4,2,3,2, , ,2, ,2,1,1,3,2,2,2,2,2, , ,6,6,6,1,2,2,2, , , , , , , , , ,2,1, ,1,2,1,98,2,3,2,2,2, , , , , , , , , , , , , , , , ,1,2,2,3,1,98, , ,1,1,1,2,7, , , , , , , ,2, ,2,2,2,2,2,2,1,1,1,1,3,7,4,6,6,1,2,2,1,98,1.75797408687684,.749492315340926,1.14388507838988
2009010024,36,3,2,2,4,10,1,4,1,2,1,3,7,4,1,6,1,2,1,7,3,2,2, , ,1, ,1,2,2, ,2,2,2,2,2, , ,1,7,7,1,2,2,2, , , , , , , , , ,1,1,1,2,2, , , , , , ,1,2,98, , , , , , , , , , , , , , ,1,1,2,4,2,2, , , , , ,2,3,1,1,1,2,2,1,1,2, ,2,2,2,2,2,2,2,1,1,1,4,4,7,7,7,1,3,1,1,2,.869160434636148,.776056598542425,.636650923602969
2009010025,26,4,2,1,4,4,1,2,2,1,3,3,1, ,1,6, , ,5,5,2,2,2, , ,2, ,1,1,1,3,2,2,2,1,2,1,2,4,4,4,1,1,1,1, , , , , , , , , ,1,2, , ,2, , , , , , ,1,2,2, , , , , , , , , , , , , , ,1,2,1,4,2,2, , , , , ,2,6,2,1,1,1,2,1,2,2, ,2,2,2,2,2,2,1,2,1,1,1,7,6,6,6,1,3,98,1,98,.610021887900137,2.28656222820458,1.20010535560098
2009010026,14,3,2,2,2,8,1,4,2,1,3,4,2, ,1,6, , ,8,8,1,2,98, , ,1, ,1,2,2, ,2,2,2,98,2, , ,3,4,5,1,1,1,2, , , , , , , , , ,2,1, ,98,1,1,3,98,2,2,2,1,2,1, , , , , , , , , , , , , , ,1,2,1,3,2,2, , , , , ,2,1,2,1,1,1,2,2,1,2, ,2,2,2,2,1,2,1,1,2,1,1,5,6,7,7,1,3,1,1,2,.853016961161201,.939113713725202,.716785981827895
