NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2012,A6,A7,A7A,A11,A8,AM21,AM22,X3,X4,AM8,A9,A10,A10A,A21,A22,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J11,J12,K_1,K_2,K_3,K_4,K_5,B20_1,B20_2,B20_3,B20_4,B11A,B21,B22_1,B22_2,B22_3,B22_4,B22_5,B22_6,B22_7,B22_8,B1,B2,B4,B23,B14,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,EA_2A,E4A,E5_2012,E7,E8,E20,E15,E16,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G21,G22,G4,G25_1,G25_2,G25_3,G25_4,G25_5,G23,H1,H3,M1_1,M1_2,M4,M20,M21_1,M21_2,M21_3,M21_4,M22,M6,M7,M8,M9,M10,wgt_n2,wgt_d2,wgt_s3
2012010001,24,4,2,2,5,11,1,6,4,1,3,5,5,3, ,1, , ,1, ,1, , , ,7,4,3,3,98, ,98, ,1,2,2,2,2,2,2,2,1,1,1,1,2,2,3,2,2,1,3,3,2,3,3,1,1,2, ,1,2, , ,1,1,2,2,2,2,2,2,2,1,2,1,2,1, ,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2, ,2,1,1,1,1,1,4,1,98,7,7,6,3, , , , ,1,1,3,4,1,2,0.363417416201636,1.260305219480220,0.631539714949409
2012010002,10,5,3,2,5,11,1,4,1,2,1,5,2,3,3,1, , ,8,6,2,2, ,3,3,1,3,2,2, , ,2,2,2,2,1,2,2,2,2,2,2,2,1,2, ,3,2,2,3,1,3,2,3,3,1,1,2, ,2,1,3,98,2, , , ,2,1,2,2,1,2,2,1,2,13,50,2,2, , ,2,7, , , , , , , ,2,2,2, ,2,1,1,1,1,1,1,2,2,6,6,5,98, , , , ,1,1,98,98,98,98,1.173593189941430,2.956766128667890,1.005696836691570
2012010003,23,3,2,2,6,12,1,4,4,1,3,5,3,3, ,1, , ,8, ,2,2, , ,3,5,2,2,1, , ,2,2,1,1,1,2,2,1,2,2,2,2,1,2, ,3,3,2,1,3,2,1,3,3,1,1,2, ,2,2, , ,1,2,2,1,2,2,1,1,2,2,2,1,1,1, ,1,2,98,1,2,4,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,98,1,2,7,7,5,3, , , , ,1,1,3,98,1,2,1.577671128178590,1.168196714813910,1.025873395899030
2012010004,14,3,2,2,6,12,1,2,5,1,3,6,2,3, ,1, , ,8, ,2,2, , ,4,1,1,2,2, , ,98,2,3,2,1,1,2,1,1,2,2,2,1,2, ,3,1,2,1,1,3,1,3,3,1,1,2, ,1,2, , ,1,2,2,2,2,1,2,2,1,2,2,1,2,1, ,2,2, , ,2,3,2,1,1,1,2,2,1,1,2,2, ,2,1,1,1,1,1,5,1,1,4,4,98,3, , , , ,1,2,98,98,98,98,1.577671128178590,1.531503929918420,1.179333614970400
2012010005,44,7,3,2,2,8,2,4,1,2,1,3,4,3,2,1, ,2,4,2,1,2, ,1,5,3,1,2,1,1,2, ,1,4,1,2,2,2,2,2,1,1,2,1,1, ,3,2,3,3,1,2,1,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,2,2,2,2,1,2,4,50,2,2, , ,2,7, , , , , , , ,2,2,1,1,2,1,2,1,2,5,7,2,1,4,6,6,3, , , , ,1,1,2,98,1,1,2.167569133302600,2.524667708386150,0.926107934713324
2012010006,25,6,3,2,2,8,1,5,1,2,1,3,4,3,3,1, , ,1,2,1, , ,1,6,8,3,2,2,2,2, ,2,4,1,1,1,2,1,1,2,1,1,1,2,2,3,2,1,1,3,3,3,3,3,1,1,2, ,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,9,-98,1,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2, ,1,2,4,2,1,4,6,1,1,1,1,6,3, , , , ,1,1,2,1,1,1,0.513482560990286,0.423950682027646,0.520620429017670
2012010007,31,2,1,1,6,6,1,2,1,2,1,5,5,2,3,1, ,2,1,1,1,2, ,2,5,5,1,2,1, ,1, ,1,98,1,1,2,2,2,1,2,2,1,1,2,2,3,2,2,3,2,3,1,3,3,1,2,2, ,1,1,3,1,1,2,1,2,2,2,2,1,1,2,2,2,2, , , , , , ,2,3,2,2,2,2,2,2,1,2,2,2, ,2,1,1,1,1,1,6,1,1,6,7,6,3, , , , ,1,3,3,3,1,2,2.234988772163510,0.670812922345647,1.051695030953520
2012010008,22,1,1,1,1,1,2,4,2,3,3,6,4,3, ,1, , ,5, ,1, ,1, ,4,5,2,2,1, ,2, ,2,3,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,3,3,3,3,1,1,2, ,2,2, , ,2, , , ,1,2,2,2,2,2,2,1,2,9,-99,1,2,1,1,2,7, , , , , , , ,1,2,1,2,2,1,1,1,1,1,5,1,2,4,5,3,98, , , , ,1,1,3,1,1,2,0.753603458592362,4.605454494447980,1.331361923564610
2012010009,5,9,4,1,3,3,2,6,2,1,3,6,6,3, ,1, , ,2, ,1, , , ,5,5,1,3,1, ,2, ,2,2,1,1,2,2,2,2,2,2,2,1,2, ,3,2,2,2,3,3,3,3,3,1,1,2, ,2,2, , ,2, , , ,1,2,2,2,2,2,2,1,2,12,-99,1,2,99,1,2,99, , , , , , , ,2,2,2, ,2,1,1,1,1,1,7,1,1,5,5,4,98, , , , ,1,3,3,2,1,98,1.576064736061110,3.878328758955630,1.046289164443690
2012010010,4,7,3,2,5,11,1,2,1,2,1,5,2,3,3,1, , ,6,8,3,2, ,3,1,1,1,1,2, , ,1,1,4,2,1,2,1,2,2,2,2,2,1,2, ,3,2,3,1,1,3,1,3,3,1,1,2, ,2,2, , ,2, , , ,2,2,2,1,2,2,2,1,2,6,-98,2,2, , ,2,3,2,1,1,2,2,2,2,2,2,2, ,2,1,1,1,1,1,7,1,1,2,2,5,3, , , , ,1,1,1,3,1,98,1.466195106246950,0.329729826904624,0.946709971042369
