NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM22,X3,X4,A9,A10,A10A,A21_2015,A22_2015,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J30,J31,J32,J33_1,J33_2,B1,B2,B4,B30,B31,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,EA_1,E4A_2015,E5_2015,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G31,G32,G33,G34,G35,G22_2015,G36,G25_1,G25_2,G25_4,G25_5,G37_1,G37_2,G37_3,G37_98,G37_99,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M30,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3
2015010001,3,8,4,1,6,6,1,4,4,4,3,5,2,2,4,2, ,1, ,8, ,2,2, , ,1,98,2,1,2, , ,2,1,4,98,1,2,7,4,1,1,1,3,3,2, , ,2, , , ,2,2,2,2,1,2,2,2,2, , , , , , ,3,2,1,1,2,2,1,2,2,1,0,0,0,0,0,1,0,0, , , , , , , ,2,1,1,1, , , , , ,1,5,1,2,2,2,5,3,1,3, , , , ,2,3,3,98,98,1,98,0.53672534,2.75812829,1.28757659
2015010002,36,3,2,2,5,11,1,4,5,1,3,5,1,3, , , ,1, ,6, ,1,2, , ,3,2,3,1,2, ,2, ,2,4,1,1,3,6,2,1,1,2,2,3,2, , ,2, , , ,2,2,2,2,2,1,2,1,2, , , , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,2,1,2,2,2,5,7,4,3, , , , ,2,1,3,98,2,1,98,1.66357877,1.58711417,1.02243705
2015010003,33,2,1,2,2,8,1,6,1,2,1,6,5,3, , ,3,1, ,3,2,1, , ,3,3,4,3,2,1, ,1, ,2,1,2,2,2,4,2,1,1,2,3,3,1,3,98,2, , , ,2,1,2,98,2,2,2,1,2, , , , , , ,7, , , , , , , ,2,2,1,1,0,0,0,0,0,0,3,2,2,1,2,1,2,1,1,1,1, , , , , ,2,7,1,2,2,1,5,3,3,1, , , , ,2,1,98,98,98,1,98,0.70895965,0.82301452,0.82323987
2015010004,10,5,3,2,3,9,2,3,4,4,3,2,1,3, , , ,1, ,3, ,1,2, , ,5,1,98,98,98,2,2, ,2,4,98,98,2,4,4,1,2,2,98,3,2, , ,2, , , ,2,1,2,2,2,1,2,2,2, , , , , , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,3, , , , , ,98,4,1,2,2,2,6,4,98,98, , , , ,1,3,98,98,98,1,98,2.03194551,2.98335607,1.02008645
2015010005,31,2,1,1,5,5,1,2,2,1,3,6,1,3, , , ,1, ,6, ,1,2, , ,8,8,3,3,2, ,2, ,2,3,3,2,2,4,4,2,1, ,3,3,2, , ,2, , , ,2,2,2,2,2,1,2,2,2, , , , , , ,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,1,7,1,2,2,2,7,7,6,3, , , , ,2,1,98,98,98,1,2,2.52105411,0.98033026,1.14509963
2015010006,26,4,2,1,6,6,1,7,1,2,1,5,8,3, , ,3,1, ,8,8,2, , ,1,6,6,1,2,98, , ,1,2,2,4,1,5,7,7,1,1,2,3,3,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,8,-98,2,2, , ,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , , , , , ,1,1,1,1, , , , , ,2,4,1,2,2,2,7,7,6,3, , , , ,2,1,3,2,2,1,2,0.39506827,1.68209550,0.78828694
2015010007,10,5,3,1,3,3,2,6,1,1,1,3,4,2,3,2,99,1, ,2,2,1, , ,1,7,7,2,98,98,1,1, ,2,2,3,2,2,3,3,2,1, ,2,3,2, , ,98, , , ,1,2,2,2,2,2,2,2,2, , , , , , ,4,2,1,1,1,2,2,98,2,1,0,0,0,0,0,1,0,0, , , , , , , ,3,4,3,4,0,1,0,0,0,2,5,2,2,2,2,3,2,98,98, , , , ,2,98,98,98,98,98,2,1.57085207,2.29893538,0.77692337
2015010008,3,8,4,2,3,9,2,1,2,2,2,2,5,3, , , ,1, ,3,3,1, , ,2,2,8,3,2,2,2,98, ,1,4,3,2,3,5,4,2,2, ,2,2,98, , ,98, , , , ,2,98,2,98,98,98,98,1,2,-98,1,1,2,1,2,2,1,1,1,2,2,98,2,1,0,0,0,0,0,1,0,0, , , , , , , ,3,4,1,1, , , , , ,1,5,1,1,1,98,4,3,3,2,2, ,2, ,2,98,1,98,98,98,98,0.30810667,2.17251713,1.07280117
2015010009,41,5,3,2,6,12,2,7,4,1,3,6,3,3, , , ,1, ,8, ,2, , , ,7,6,3,2,2, , ,2,2,3,2,2,4,3,4,1,1,2,3,3,2, , ,2, , , ,2,2,1,2,1,2,2,2,2, , , , , , ,2,2,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,3,1,2,1,2,2,2,1,1,1,1, , , , , ,2,6,1,2,2,2,6,6,6,3, , , , ,2,2,3,4,2,1,98,0.96004874,0.52833815,0.77242521
2015010010,33,2,1,1,1,1,2,6,2,1,3,6,3,3, , , ,1, ,6, ,1, , , ,9,8,2,2,2, ,2, ,2,2,2,2,3,6,5,1,2,2,3,2,2, , ,98, , , ,2,98,2,1,2,98,98,2,2, , , , , , ,1,2,1,2,2,1,1,2,1,98,1,0,0,0,0,0,0,0,1,2,2,3,2,2,2,2,1,3,1,0,1,0,0,0,2,7,1,2,2,2,5,5,6,3, , , , ,2,98,98,3,98,98,2,1.11828080,0.75692082,0.74219254
2015010011,48,9,4,1,5,5,1,4,2,1,3,6,1,3, , , ,1, ,6, ,1,2, , ,5,1,3,3,2, ,2, ,2,4,1,1,1,4,2,1,1,1,1,3,2, , ,2, , , ,2,2,2,2,2,1,2,2,2, , , , , , ,7, , , , , , , ,2,2,1,0,0,0,0,0,0,0,1,98,2,2,98,1,2,1,98,1,1, , , , , ,1,6,1,2,2,2,6,7,4,98, , , , ,98,1,3,98,2,1,98,1.99313062,1.01634477,1.16873709
