NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A3,A3Ar_w,A3B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM22,X3,X4,A9,A40,A10,A10A,A21_2015,A22_2015,A14,A41,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J32,J33_1,J33_40,J33_41,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4,B40,B41_1,B41_2,B31,B42,B43,B44,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,C40,C41,D40,EA_1,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G40,G25_1,G25_2,G25_3,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M40,M20,M21_1,M21_2_2015,M21_3,M21_4,M41,M42,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3
2018010001,48,9,4,2,5,11,1,5,4,4,3,5,1,3, , , ,1, ,6,2, ,1,2, , ,98,1,1,3,1,1,2, ,2, ,2,4,1,7,7,7,5,5,5,1,5,2,2,2, ,3, , ,3,3,3,3,1, ,98,2, , , , ,5,2,1,1,2,2, , ,7, , , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,3,1,2,7,1,2,2,2,1,6,2,2,98, , , , , , ,1,3,98,98,98,1,0.68368306,0.51964208,1.09518877
2018010002,10,5,3,2,2,8,1,6,1,2,1,6,5,3, , ,3,1, ,2,1,3,1, , ,1,5,4,3,3,2,1,1, ,2, ,2,1,4,3,7,7,4,5,5,2,4,2,1,1,2,6,3,3,3,2,3,3,1,1,1,1,2,2,2,1,6,2,2,2, , , , ,2,1,1,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,1,2,1,1,1,1,1,7,6,5,2,98, , , , , , ,1,3,98,3,1,98,0.80835753,2.51684077,0.92269329
2018010003,44,7,3,2,2,8,1,6,1,2,1,1,4,3, , ,3,1, ,2,2,2,1, , ,3,3,1,1,2,1,2,2,2,2, ,2,4,2,5,7,7,3,5,5,1,5,1,1,2,1,1,2,3,2,2,2,3,1,2,98,2, , , ,2,6,2,2,2, , , , ,1,2,1,1,1,1,2,2,1,2,1,0,0,0,0,0,0,0,2,4,1,2,1,1,1,1,1,1,7,2,2,2,1,1,1,2,2,3, , , , , , ,1,1,98,98,1,98,1.02155141,1.89619186,0.67109295
2018010004,10,5,3,2,1,7,1,6,2,2,2,2,5,3, , , ,1, ,2,1,2,1, , ,3,5,8,10,2,3,3,2,98,2, ,98,2,4,6,4,7,3,4,2,5,3,3,98,98, ,7, , ,2,2,2,98,98, , ,98, , , ,2,4,2,98,98, , , , ,4,2,2,98,2,1,98,98,98,2,0,0,0,0,0,0,1,0, , , ,98,5,3,4,3,3,2,98,1,98,2,1,6,6,98,2,2,98,98,1, ,3,7,98,98,4,4,2,98,0.80835753,2.51684077,0.92269329
2018010005,13,8,4,1,2,2,1,6,1,2,1,6,3,3, , ,3,1, ,2,2,1,1, , ,1,5,6,5,3,3,1,1, ,1, ,2,1,5,5,4,2,3,3,98,4,2,3,1,1,2,5,3,3,99,2,2,3,1,1,2,2, , , ,2,6,2,2,2, , , , ,2,1,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,1,2,2,98,1,1,1,1,1,2,4,2,2,2,2,7,4,4,2,3, , , , , , ,1,3,98,2,1,98,0.4480747,0.61473322,1.23222123
2018010006,11,5,3,2,2,8,1,5,1,2,1,2,1,3, , ,3,1, ,3,2,6,1,2, ,98,99,5,5,98,1,1,2,2,2, ,2,4,5,4,4,4,98,4,4,1,4,98,1,2,2,4,2,1,3,3,3,3,2, , ,2, , , ,2,1,2,1,2, , , , ,98, , , , , , , ,98,2,0,0,0,0,0,1,0,0, , , ,2,2,1,1,1,1,2,4,1,2,2,1,4,4,5,2,3, , , , , , ,98,98,98,98,98,98,1.01790953,1.32963691,0.93612567
2018010007,11,5,3,1,2,2,1,3,1,1,1,4,6,1, , ,1,2,1,2,1,2,1,1,1,2,2,10,10,1,3,1,1,1,1, ,1,1,5,6,7,7,5,4,5,98,5,4,1,1,1,7,3,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,2,98,1,1,1,1,98,1,0,0,0,0,0,0,0,1,3,1, ,4,5,5,4,5,1,7,1,2,1,1,7,7,7,1,1, , , , , , ,1,2,1,1,1,1,1.43350037,1.47958532,1.02043602
2018010008,26,4,2,2,1,7,1,2,2,1,3,1,1,2,1,1, ,1, ,2,1, ,1,1,1, ,3,3,8,2,2,2,1,2,1, ,1,2,2,7,98,98,98,3,1,1,4,2,2,1, ,2,2,98,1,2,2,1,2, , ,1,1,1,2,1,2,1,2,2, , , , ,1,2,98,2,2,1,1,1,98,2,1,0,0,0,0,0,0,0,2,2,2, ,3,1,1,4,3,1,5,2,2,98,2,2,7,5,1,1, , , , , , ,2,2,2,2,1,2,0.44583726,1.74510366,0.93195123
2018010009,21,5,3,1,2,2,1,7,1,2,1,1,6,2,2,1,2,1, ,2,2,8,1, , ,1,6,9,9,3,3,3,1,1,1, ,2,3,4,7,6,6,3,4,4,4,3,3,1,1,2,6,3,2,2,2,3,2,1,1,2,1,1,2,1,1,4,1,2,1,2,2, , ,2,2,1,1,2,2,2,1,2,1,1,1,1,0,0,0,0,0,2,4,1,2,2,3,1,2,1,2,6,1,2,1,2,7,6,6,2,3, , , , , , ,2,2,3,3,1,2,1.13839275,0.79908065,0.76141977
2018010010,10,5,3,2,6,12,1,6,2,2,2,6,2,3, , , ,1, ,8,98,8,2, , ,1,5,7,1,3,3,1,1, , ,1,2,1,5,6,3,1,3,2,4,4,3,3,1,1,2,1,3,1,3,2,3,3,2, , ,2, , , ,2,6,2,2,1,2,2, , ,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,2,2,1,1,1,1,2,1,1,2,2,2,7,5,6,1,1, , , , , , ,1,3,1,4,1,2,0.94693104,2.78953879,1.02804981
